리뷰일,앱 이름,별점,사용자 리뷰,회사 응답
2025-10-26,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,고객센터 알려준데로 하니 쉽게했네요~,회사응답 없음
2025-10-26,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,최고,회사응답 없음
2025-10-26,"('국민', 'com.kbstar.kbbank&hl=ko')",1.0,국민인증서로 아무리 인증해도 줄 세개짜리 메뉴에 들아가면 로그아웃되어 있어요 초기화면으로 계속 돌아가는 현상이 발생합니다 계좌비밀번호는 4번 잘못입력해서 막혀있고 돈은 계좌에 묶여있는데 앱이 왜 이렇게 쓰레기일까요? 데이터 캐시 관리 및 앱 재설치 고객센터에 문의 등 할 수 있는 건 다 해봤지만 남은 답신이라고는 내방하라는 지시 뿐이네요 고객센터 직원이 문제가 아니라 이런 말만 들을 거면 고객센터가 있는 이유가 뭔가요 조치를 못해주는 고객센터와 먹통인 앱의 환장할 콜라보..,회사응답 없음
2025-10-26,"('국민', 'com.kbstar.kbbank&hl=ko')",2.0,김지정입니다 제가것요 사용중 물건손대지말세요 제가관리합니다 ⚠️ ⛔️ 📵 금지요 저희는 국민은 은행 카드도 사용하고 화영 관심이 있어서 그럽니다. 제가 남의 물건 건드는 거는 더 애는 개인정보 건지지 마세요 김지정입니다. 저희 남의 물건 건들지 마세요. 저 이 검지입니⚠️⛔️🚫📵 나는 남의 물건 건들지 마세요. 몇 번 말해주면 말을 이해를 하세요. 나는 무거운 거 되지 뭐라고요불편많이했습니다 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 으뜸 들었습니다. 저희도 불평등하고 저의 남의 무공관중이 뭐라고 얘기했습니다. 제꺼라고 얘기했습니다. 맛있는 얘기해도 말귀도 못와 먹고 저희는 라면 묵은 건지 마세요 남해 물건 내는 건데 맞는데 좀 이거 사람 말을 고르기 막 이래 몰랐는데도 할머니가 하지 마세요. 남의 묵은 조이 이제 거기 때문에 지금 사용하고 있습니다. 당신들이 뭔데 남해 이렇게 해라 저래는 하기 힘든 든다. 조회 집중하는 영화는 말을,회사응답 없음
2025-10-25,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,편함,회사응답 없음
2025-10-25,"('국민', 'com.kbstar.kbbank&hl=ko')",1.0,자꾸 실행되지도 않고 팅김,회사응답 없음
2025-10-25,"('국민', 'com.kbstar.kbbank&hl=ko')",1.0,업데이트를 하면 쓰레기 같이 변하는 앱,회사응답 없음
2025-10-25,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,좋아요,회사응답 없음
2025-10-25,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,아주좋아요,회사응답 없음
2025-10-25,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,굿~~~,회사응답 없음
