제목,저자,역자,글그림,그림,기획,감수,글,출판사,출간일,가격,평점,리뷰수,상세페이지링크
트렌드 코리아 2026,"김난도,전미영,최지혜,권정윤,한다혜,이혜원,이수진,서유현,전다현,이준영,이향은,김나은",,,,,,,미래의창,2025년 09월,18000,9.5,67,https://www.yes24.com/product/goods/153064968
사탄탱고,크러스너호르커이 라슬로,,,,,,,알마,2018년 05월,17820,9.1,27,https://www.yes24.com/product/goods/60543924
절창 切創,구병모,,,,,,,문학동네,2025년 09월,16200,9.3,110,https://www.yes24.com/product/goods/153497469
위버멘쉬,프리드리히 니체,,,,,,,떠오름,2025년 03월,16020,9.5,422,https://www.yes24.com/product/goods/142972546
머니 트렌드 2026,"김도윤,정태익,김광석,김승주,김용섭,김학렬,김현준,최재붕",,,,,,,북모먼트,2025년 09월,23400,9.5,52,https://www.yes24.com/product/goods/152645689
박곰희 연금 부자 수업,박곰희,,,,,,,인플루엔셜,2025년 06월,18900,9.7,144,https://www.yes24.com/product/goods/148032819
다크 심리학,다크 사이드 프로젝트,,,,,,,어센딩,2025년 07월,19710,9.6,85,https://www.yes24.com/product/goods/149658696
비트코인 없는 미래는 없다,"오태민, 손혜민, 김유정",,,,,,,거인의정원,2025년 09월,27900,9.9,68,https://www.yes24.com/product/goods/153777837
손자병법,손자,,,,,,,현대지성,2025년 10월,11700,9.9,68,https://www.yes24.com/product/goods/154827889
어른의 행복은 조용하다,태수,,,,,,,페이지2북스,2024년 11월,16020,9.5,369,https://www.yes24.com/product/goods/136298166
ETF 투자의 모든 것,문일호,,,,,,,매일경제신문사,2025년 08월,18900,9.9,35,https://www.yes24.com/product/goods/150166715
포즈랑의 투자 이야기,포즈랑,,,,,,,에디터,2025년 10월,19800,10.0,4,https://www.yes24.com/product/goods/158980453
호의에 대하여,문형배,,,,,,,김영사,2025년 08월,16920,9.5,166,https://www.yes24.com/product/goods/152298374
아무도 오지 않는 곳에서,천선란,,,,,,,허블,2025년 10월,15300,10.0,4,https://www.yes24.com/product/goods/158668715
흔한남매 20,흔한남매,,,,,,백난도,미래엔아이세움,2025년 09월,15120,9.9,137,https://www.yes24.com/product/goods/153711876
류수영의 평생 레시피,류수영,,,,,,,세미콜론,2025년 06월,22500,9.7,279,https://www.yes24.com/product/goods/148068039
렛뎀 이론,멜 로빈스,,,,,,,비즈니스북스,2025년 08월,18000,9.7,167,https://www.yes24.com/product/goods/149739762
시대예보: 경량문명의 탄생,송길영,,,,,,,교보문고,2025년 09월,19800,9.5,22,https://www.yes24.com/product/goods/152644797
돈의 심리학 (30만 부 기념 스페셜 에디션),모건 하우절,,,,,,,인플루엔셜,2021년 01월,17820,9.4,1174,https://www.yes24.com/product/goods/96547408
어른의 품격을 채우는 100일 필사 노트,김종원,,,,,,,청림Life,2025년 03월,18000,9.8,196,https://www.yes24.com/product/goods/142687238
원피스 ONE PIECE 112,오다 에이이치로,,,,,,,대원,2025년 10월,5400,0.0,0,https://www.yes24.com/product/goods/159493426
혼모노,성해나,,,,,,,창비,2025년 03월,16200,9.1,586,https://www.yes24.com/product/goods/143911524
조용한 회복,박재연,,,,,,,한빛라이프,2025년 09월,19800,9.8,20,https://www.yes24.com/product/goods/153259638
청춘의 필사,김종원,,,,,,,퍼스트펭귄,2025년 09월,19800,9.5,22,https://www.yes24.com/product/goods/154564417
여자친구 1~4권 세트,청건,,,,,,,빗금,2025년 10월,55800,0.0,0,https://www.yes24.com/product/goods/159264348
모순,양귀자,,,,,,,쓰다,2013년 04월,11700,9.6,1754,https://www.yes24.com/product/goods/8759796
초역 부처의 말,코이케 류노스케,,,,,,,포레스트북스,2024년 05월,16020,9.5,600,https://www.yes24.com/product/goods/126590468
"AGI, 천사인가 악마인가",김대식,,,,,,,동아시아,2025년 08월,16200,9.6,11,https://www.yes24.com/product/goods/151663101
편안함의 습격,마이클 이스터,,,,,,,수오서재,2025년 06월,19800,9.7,131,https://www.yes24.com/product/goods/147570099
소년이 온다,한강,,,,,,,창비,2014년 05월,13500,9.7,4454,https://www.yes24.com/product/goods/13137546
저소비 생활,가제노타미,,,,,,,알에이치코리아(RHK),2025년 09월,17100,9.0,35,https://www.yes24.com/product/goods/152921103
단 한 줄만 내 마음에 새긴다고 해도,나민애,,,,,,,포레스트북스,2025년 06월,21420,9.7,91,https://www.yes24.com/product/goods/147178677
자몽살구클럽,한로로,,,,,,,어센틱,2025년 07월,10800,9.1,74,https://www.yes24.com/product/goods/149385533
ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS,,,,,,,YBM(와이비엠),2023년 12월,17820,9.8,523,https://www.yes24.com/product/goods/124043812
아주 느린 작별,정추위,,,,,,,다산책방,2025년 08월,16200,9.9,25,https://www.yes24.com/product/goods/152078762
