title,originallink,link,description,pubDate
"PFCT, 호주서 'AI 리스크 관리 노하우' 전수한다",https://www.etoday.co.kr/news/view/2514976,https://www.etoday.co.kr/news/view/2514976,이투데이=김은재 기자 | <b>핀테크</b> 기업 피에프씨테크놀로지스(PFCT)는 이수환 대표가 올 11월 개최되는 호주 최대 규모의 신용포럼 'ARCA 2025(Australian Retail Credit Association 2025)'에서 한국 기업인 최초 연사로... ,"Wed, 15 Oct 2025 14:48:00 +0900"
"티머니모빌리티, '여행가는 가을' 캠페인 참여... 교통비 30% 할인",https://www.ibabynews.com/news/articleView.html?idxno=140885,https://www.ibabynews.com/news/articleView.html?idxno=140885,"한편, 티머니모빌리티는 ▲'모빌리티 <b>핀테크</b>&amp;플랫폼' 전문기업으로 경쟁력을 강화하여 대중교통 중심 통합이동 서비스를 활성화하고, ▲전략적 제휴 및 투자 유치를 통해 새로운 성장 모멘텀을 확보해 나가고 있다.... ","Wed, 15 Oct 2025 14:44:00 +0900"
"트립비토즈, 두바이 GITEX 2025서 iOL과 전략적 파트너십 체결",https://news.mtn.co.kr/news-detail/2025101514363799489,https://news.mtn.co.kr/news-detail/2025101514363799489,"iOL은 전 세계 호텔과 여행 바이어 간 연결을 간소화하는 iOL X, 다국적 결제 환경을 자동화하는 <b>핀테크</b> 솔루션 iOL Pay, 여행자 대상 리워드 상품 제공 플랫폼 iOL Escapes, 호텔 자체 예약 포털 구축을 지원하는 iOL Edge 등... ","Wed, 15 Oct 2025 14:40:00 +0900"
'2025 부산금융주간' 행사 17~18일 벡스코서 개최,http://www.breaknews.com/1153902,http://www.breaknews.com/1153902,"부산시가 주최하고 벡스코, 코스콤, 한국금융투자협회, 글로벌<b>핀테크</b>산업진흥센터, 부산국제금융진흥원이 주관하는 이번 행사는 26개 금융 전문 세미나, 금융 교육... ","Wed, 15 Oct 2025 14:36:00 +0900"
"엔소 네트워크, 블록체인 표준화 목적 '엔소 네트워크' 출시",https://www.khgames.co.kr/news/articleView.html?idxno=245223,https://www.khgames.co.kr/news/articleView.html?idxno=245223,이 밖에도 엔소는 자체 기술을 통해 <b>핀테크</b>·네오뱅크·인공지능(AI) 분야에서도 온체인 기술을 간편하게 사용할 수 있도록 한다. 기존의 체인별 규격 차이와 프로토콜 파편화로 온체인 도입이 어려웠던 환경을... ,"Wed, 15 Oct 2025 14:34:00 +0900"
"이통사, 마이데이터 사업 잇단 철수…수익화 난항",https://www.etnews.com/20251015000237,https://n.news.naver.com/mnews/article/030/0003359167?sid=105,"통신업계는 기존 금융 데이터 기반의 자산·신용 관리 지원 외에 통신 데이터를 결합해 고객 확보에 나섰지만 플랫폼, <b>핀테크</b> 기업 서비스와 비교해 뚜렷한 성과를 거두지 못했다. 여러 부처가 규제로 얽혀 있는 만큼... ","Wed, 15 Oct 2025 14:34:00 +0900"
"티머니모빌리티, 여행가는 가을 캠페인 참여…교통비 30% 할인",http://www.segyebiz.com/newsView/20251015511535?OutUrl=naver,http://www.segyebiz.com/newsView/20251015511535?OutUrl=naver,"한편, 티머니모빌리티는 모빌리티 <b>핀테크</b>&amp;플랫폼 전문기업으로 경쟁력을 강화하여 대중교통 중심 통합이동 서비스를 활성화하고, 전략적 제휴 및 투자 유치를 통해 새로운 성장 모멘텀을 확보해 나가고 있다. 또한... ","Wed, 15 Oct 2025 14:30:00 +0900"
[기고] 서울투자진흥재단 출범…홍콩과 서울의 글로벌 투자유치 협력을...,https://www.asiatoday.co.kr/view.php?key=20251015010004207,https://www.asiatoday.co.kr/view.php?key=20251015010004207,"특히 서울은 <b>핀테크</b> 분야에서 역대 최고인 8위에 오르며 좋은 평가를 받았는데, 서울과 홍콩이 은행, 증권 등 전통금융뿐만 아니라 <b>핀테크</b> 등 첨단 산업분야까지 활발히 교류·협력한다면, 상호간에 큰 시너지를... ","Wed, 15 Oct 2025 14:10:00 +0900"
"서울시, '2025 일자리박람회' 11월 6일 개최",https://www.public25.com/news/articleView.html?idxno=32458,https://www.public25.com/news/articleView.html?idxno=32458,"올해 박람회는 인공지능(AI), 바이오, <b>핀테크</b>, 정보통신 등 미래전략산업 분야를 중심으로 진행된다. 또 참여 기업 규모를 역대 최대인 80여곳으로 확대한 게 특징이다. 현장 참가 기업 60여곳, 온라인 참가 기업... ","Wed, 15 Oct 2025 14:10:00 +0900"
&quot;합병 덕에 영업익 3조&quot;…네이버-두나무 시너지,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202510150653&t=NN,https://n.news.naver.com/mnews/article/215/0001227108?sid=101,"커머스, <b>핀테크</b> 사업과 충분한 시너지를 낼 수 있는 분야&quot;라고 설명했다. 다만, 합병이 성사되기까지... 이어 “네이버파이낸셜 등 <b>핀테크</b> 기업을 전통적인 금융회사로 볼지 여부에 대한 이견이 있어, 합병 관련... ","Wed, 15 Oct 2025 14:09:00 +0900"
