리뷰일,앱 이름,별점,사용자 리뷰,회사 응답
2025-10-24,토스,5.0,토스로 대출 받기 정말 편리해요 감사합니다 ^^ 저는 아이폰으로 대출 받았어요. 쿠팡에서 아이폰17pro 구매가능 합니다 인천에서 가장 아름다운 아파트 학익루미엘 가좌두산위브 부평엘크루 구경오세요 ^^ 인스파이어리조트 쿠팡 배민 봄봄한식뷔페 고기싸롱 현대오일뱅크 애터미도 많은 사랑 부탁드립니다 감사합니다 ^^ 여러분 힘내세요^^ 화이팅 사랑합니다 ❤️,회사응답 없음
2025-10-23,토스,5.0,편하게 사용할수있어서 좋아서요 감사합니다,회사응답 없음
2025-10-22,토스,5.0,좋아요 만족합니다 강력추천합니다 감사합니다,회사응답 없음
2025-10-22,토스,5.0,토스는 대단하다.,회사응답 없음
2025-10-22,토스,5.0,평점계산방식,회사응답 없음
2025-10-21,토스,3.0,좋긴한데 카드 밑에 깨진것 같은 구멍은 왜 있고 일반 블랙은 어디갔나요? 구멍 때문에 카드 커버 못 붙여서 불편해요. 색도 예전이 더 예뻤어요. 그리고 제발 예전처럼 다시 단순하게 좀 만들어주세요.,회사응답 없음
2025-10-21,토스,2.0,홍민택 데려가주세요 카카오톡 돌려내주세요,회사응답 없음
2025-10-21,토스,5.0,"믿고쓰는토스 입니다 1.일단 한눈에 쉽게 들어오게 만들었어요 어떠한 은행 및 금융어플도 이보다 직관적으로 디자인 한 곳이 없습니다 2.깔끔합니다 쓸데없이 군더더기 없는건 개인이 원하는대로 화면 편집 가능해서 좋습니다 3.증권 훌륭합니다 간곡히 바라는 부분 카카오톡 처럼 쓸데없는 잡스런 기능 넣지 말고 지금처럼 유익한 기능만 넣어 심플하게 운영했으면 좋겠습니다 과하면 없느니만 못합니다 지금 카카오톡이 그러합니다 카카오톡을 대채 할수 있는 톡스톡톡 !! 오로지 ' 채팅,이미지,파일,선물하기' 만 딱 주고받을수 있게 네이트온처럼 내 친구목록을 구분(가족,친구,지인,거래처,동료 등)지어 한눈에 (직관적이게) 만들어 간편하고 서로의.개인적 프라이버시를 존중할수있는 (사생활침해없는) 네이트온처럼 개인플필 없고 배경화면 없는 심플하고 효율적인 채팅앱 개발을 간절히 바랍니다",회사응답 없음
2025-10-21,토스,5.0,"진짜 은행계의 혁신이라고 생각들정도로 간편한 UI , 혜택, 파격적인 캐시백 이벤트 등 만족도 최고라서 토스만 씁니다. 초심 잃지 말고 앞으로도 혁신을 기대합니다~",회사응답 없음
2025-10-21,토스,5.0,영어공부가 재밌어요.,회사응답 없음
2025-10-21,토스,2.0,어제 저녁부터 토스 쇼핑 등 몇 가지가 터치가 안되어 실행이 안되요.,회사응답 없음
2025-10-21,토스,4.0,왜 업데이트가 안되죠?,회사응답 없음
2025-10-21,토스,4.0,알림창을 내리기만 하면 송금버튼이 있어서 정말 유용하고 빠르게 사용했어서 편리했는데 업데이트후 송금버튼이 사라져서 앱 들어가서 송금하기 눌러야 하는 절차가 너무 번거롭네요.,회사응답 없음
2025-10-21,토스,3.0,업데이트가 안되더니 이젠 접근조차 안됩니다 이 무슨 요사스런 변화인가요?,회사응답 없음
2025-10-20,토스,1.0,업데이트 이후 왜케 버벅이나요? 껏다 켜는것을 계속 반복해서 렉 걸린 듯이 버벅이네요 ㅡ,회사응답 없음
2025-10-20,토스,1.0,광고 끝났는데 보상을 안줘서 광고를 두번보는일이 계속 생기는데.. 토스 이넘들 업뎃하고 손버릇이 안 좋아졌네..,회사응답 없음
2025-10-20,토스,3.0,적립이 즐거워요,회사응답 없음
2025-10-20,토스,5.0,.편리하게잘사용하고이습니다 감사합니다,회사응답 없음
2025-10-20,토스,1.0,"해외입니다. 업데이트가 안되는데 어떻게 해야하죠? 토스를 아예 사용할 수 없는 화면인데요,",회사응답 없음
2025-10-20,토스,5.0,쉽고. 편리해서. 좋네요,회사응답 없음
