title,originallink,link,description,pubDate
엔소 네트워크 블록체인 표준화 목적 엔소 네트워크 출시,https://www.khgames.co.kr/news/articleView.html?idxno=245223,https://www.khgames.co.kr/news/articleView.html?idxno=245223,이 밖에도 엔소는 자체 기술을 통해 핀테크 네오뱅크 인공지능 AI 분야에서도 온체인 기술을 간편하게 사용할 수 있도록 한다 기존의 체인별 규격 차이와 프로토콜 파편화로 온체인 도입이 어려웠던 환경을 ,"Wed, 15 Oct 2025 14:34:00 +0900"
이통사 마이데이터 사업 잇단 철수 수익화 난항,https://www.etnews.com/20251015000237,https://n.news.naver.com/mnews/article/030/0003359167?sid=105,통신업계는 기존 금융 데이터 기반의 자산 신용 관리 지원 외에 통신 데이터를 결합해 고객 확보에 나섰지만 플랫폼 핀테크 기업 서비스와 비교해 뚜렷한 성과를 거두지 못했다 여러 부처가 규제로 얽혀 있는 만큼 ,"Wed, 15 Oct 2025 14:34:00 +0900"
티머니모빌리티 여행가는 가을 캠페인 참여 교통비 30 할인,http://www.segyebiz.com/newsView/20251015511535?OutUrl=naver,http://www.segyebiz.com/newsView/20251015511535?OutUrl=naver,한편 티머니모빌리티는 모빌리티 핀테크 amp 플랫폼 전문기업으로 경쟁력을 강화하여 대중교통 중심 통합이동 서비스를 활성화하고 전략적 제휴 및 투자 유치를 통해 새로운 성장 모멘텀을 확보해 나가고 있다 또한 ,"Wed, 15 Oct 2025 14:30:00 +0900"
 기고 서울투자진흥재단 출범 홍콩과 서울의 글로벌 투자유치 협력을 ,https://www.asiatoday.co.kr/view.php?key=20251015010004207,https://www.asiatoday.co.kr/view.php?key=20251015010004207,특히 서울은 핀테크 분야에서 역대 최고인 8위에 오르며 좋은 평가를 받았는데 서울과 홍콩이 은행 증권 등 전통금융뿐만 아니라 핀테크 등 첨단 산업분야까지 활발히 교류 협력한다면 상호간에 큰 시너지를 ,"Wed, 15 Oct 2025 14:10:00 +0900"
서울시 2025 일자리박람회 11월 6일 개최,https://www.public25.com/news/articleView.html?idxno=32458,https://www.public25.com/news/articleView.html?idxno=32458,올해 박람회는 인공지능 AI 바이오 핀테크 정보통신 등 미래전략산업 분야를 중심으로 진행된다 또 참여 기업 규모를 역대 최대인 80여곳으로 확대한 게 특징이다 현장 참가 기업 60여곳 온라인 참가 기업 ,"Wed, 15 Oct 2025 14:10:00 +0900"
 quot 합병 덕에 영업익 3조 quot 네이버 두나무 시너지,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202510150653&t=NN,https://n.news.naver.com/mnews/article/215/0001227108?sid=101,커머스 핀테크 사업과 충분한 시너지를 낼 수 있는 분야 quot 라고 설명했다 다만 합병이 성사되기까지 이어 네이버파이낸셜 등 핀테크 기업을 전통적인 금융회사로 볼지 여부에 대한 이견이 있어 합병 관련 ,"Wed, 15 Oct 2025 14:09:00 +0900"
트립비토즈 지능형 여행기술 플랫폼 iOL과 전략적 파트너십 체결,https://www.mt.co.kr/future/2025/10/15/2025101511412469157,https://n.news.naver.com/mnews/article/008/0005263103?sid=101,iOL은 전 세계 호텔과 여행 바이어 간 연결을 간소화하는 iOL X 다국적 결제 환경을 자동화하는 핀테크 솔루션 iOL 페이 여행자 대상 리워드 상품 제공 플랫폼 iOL 이스케이프 호텔 자체 예약 포털 구축을 ,"Wed, 15 Oct 2025 14:00:00 +0900"
 알림 제5회 스마트금융대상 공모 혁신의 주인공을 찾습니다 ,https://www.etnews.com/20251015000183,https://n.news.naver.com/mnews/article/030/0003359116?sid=101,전자신문이 혁신을 발판 삼아 금융 산업 지평을 넓혀가는 핀테크 파이오니어를 찾습니다 전자신문사가 주최하고 금융위원회 금융결제원 신용정보원 금융보안원 코스콤 한국핀테크산업협회 ,"Wed, 15 Oct 2025 13:42:00 +0900"
서울시 2025 일자리박람회로 청년 취업 기회 확대,https://www.viva100.com/article/20251015500987,https://www.viva100.com/article/20251015500987,올해 박람회는 인공지능 바이오 핀테크 정보통신 등 미래전략산업 분야를 중심으로 진행되며 참여 기업 규모를 역대 최대인 80여 곳으로 확대했다 현장 참가 기업 60여 곳과 온라인 참가 기업 20여 곳 등 총 80여 ,"Wed, 15 Oct 2025 13:40:00 +0900"
데일리펀딩 금융 보안 역량 강화 위해 적극 투자 SECaaS 전략 강화,https://byline.network/?p=9004111222580546,https://byline.network/?p=9004111222580546,공공 금융 통신사 등 전방위 산업을 대상으로 한 사이버 위협이 거세지고 있는 가운데 핀테크 기업으로 적극적인 보안 투자로 신뢰할 만한 금융 환경을 조성하고 고객 데이터와 자산을 안전하게 보호할 수 있도록 ,"Wed, 15 Oct 2025 13:36:00 +0900"
트립비토즈 두바이 GITEX 2025서 iOL과 전략적 파트너십 체결,https://www.discoverynews.kr/news/articleView.html?idxno=1075553,https://www.discoverynews.kr/news/articleView.html?idxno=1075553,iOL은 전 세계 호텔과 여행 바이어 간 연결을 간소화하는 iOL X 다국적 결제 환경을 자동화하는 핀테크 솔루션 iOL Pay 여행자 대상 리워드 상품 제공 플랫폼 iOL Escapes 호텔 자체 예약 포털 구축을 지원하는 iOL Edge 등 ,"Wed, 15 Oct 2025 13:34:00 +0900"
제조 혁신과 신소재 도입 성우전자 성장 동력 확충 부각,https://www.pinpointnews.co.kr/news/articleView.html?idxno=385059,https://www.pinpointnews.co.kr/news/articleView.html?idxno=385059,핀테크 관련주 헥토파이낸셜 웹케시 투비소프트 네이버 KG이니시스 한국전자인증 이스트소프트 카카오 SBI핀테크솔루션즈 NHN KCP 라온시큐어 SK KT도 시장의 주목을 받고 있다 성우전자는 제조기술 혁신 해외 법인 ,"Wed, 15 Oct 2025 13:32:00 +0900"
 quot K 신용평가 기술력 알린다 quot 호주 최대 포럼 연단에 오르는 이 회사,https://www.mt.co.kr/future/2025/10/15/2025101510550855932,https://n.news.naver.com/mnews/article/008/0005263010?sid=101,특히 지난 9월 호주 핀테크사 파이낸스원에 자사의 AI리스크 관리 패키지 에어팩 을 공급한 점을 계기로 호주 시장 적용 가능성을 제안할 예정이다 이 대표는 quot 금융과 기술의 미래를 논하는 글로벌 무대 ARCA 포럼에서 ,"Wed, 15 Oct 2025 13:00:00 +0900"
청년의 미래산업 도전 서울시가 함께 뛴다,https://www.ajunews.com/view/20251015122007010,https://www.ajunews.com/view/20251015122007010,인공지능 AI 바이오 핀테크 등 미래 전략산업 중심인 이번 박람회에는 80여 개 기업이 참여해 480명 규모의 채용이 이뤄질 예정이다 서울시와 IBK기업은행 한국산업기술진흥협회 한국장학재단이 공동 주최하는 ,"Wed, 15 Oct 2025 12:36:00 +0900"
 GITEX 2025 현장 quot K 스타트업 두바이를 두드리다 quot 14주간 이어진 글 ,https://kr.aving.net/news/articleView.html?idxno=1804925,https://kr.aving.net/news/articleView.html?idxno=1804925,제시하며 핀테크 허브로 성장 중인 UAE 시장의 방향성과 맞물렸다 이어서 글로벌 이동성과 데이터 블록체인 핀테크 모빌리티 스마트시티 등 첨단 산업의 전 분야가 총출동한 역대급 규모였다 창업진흥원 ,"Wed, 15 Oct 2025 12:34:00 +0900"
 더벨 FIU 위험평가 정부 포상 후보 금융사 6곳 공개검증대 올랐다,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510101551011200102150,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202510101551011200102150, 은행 3곳 카드 저축은행 핀테크 각 1곳 리스트업 FIU는 오는 15일까지 자금세탁방지의 날 정부포상 후보 공개검증 및 공적심사를 진행한다 이 과정에서 FIU는 공개검증 대상 기관에 대한 외부 의견을 수렴한다 ,"Wed, 15 Oct 2025 12:18:00 +0900"
 EBN 25주년 포럼 종합 quot 산업 리더십 소통 힘 모아 미래 설계 quot ,https://www.ebn.co.kr/news/articleView.html?idxno=1682180,https://www.ebn.co.kr/news/articleView.html?idxno=1682180,EBN은 지난 2000년 창간 이래 철강 화학 전자 통신 조선 금융 건설 에너지 유통 모빌리티 IT 미디어 핀테크 제약바이오 등 다양한 분야의 심층 보도를 통해 산업계의 든든한 동반자로 자리매김해왔다 ,"Wed, 15 Oct 2025 12:08:00 +0900"
서울시 2025 일자리박람회 11월 개최,http://www.wsobi.com/news/articleView.html?idxno=292534,http://www.wsobi.com/news/articleView.html?idxno=292534,이번 박람회는 우수 중견 중소기업과 구직자 간 취업 연계를 지원하는 서울시 대표 채용 행사로 AI 바이오 핀테크 정보통신 등 미래전략산업 분야를 중심으로 진행된다 지난 2022년부터 처음으로 열린 ,"Wed, 15 Oct 2025 12:06:00 +0900"
