리뷰일,앱 이름,별점,사용자 리뷰,회사 응답
2025-10-24,하나,1.0,예수금 빼려고 보니까 그냥은 또 안빠지고 계좌 밀어야 된데서 계좌 해지 찾아보니 밀리지도 않고 회외 주식이고 국내주식이고 한번 투자했다가 매도한 금액들은 절대 안빠지고 냅두는게 이게 맞나요? 투자를 했으면 뺄 수도 있게 해주셔야지 뭔 사행성 도박도 아니고 돈을 끊임없이 퍼부어야되나요 빼지도 못하는거,회사응답 없음
2025-10-24,하나,1.0,앱이 왜 안열리져 다른통장에서 이체를해서 볼려고해도볼수가없네여 출근 교통비 써야되는데 앱열리게해줘야 이체가되져 통장 이나카드가없고 앱으로만 움직이게되있어서,회사응답 없음
2025-10-24,하나,1.0,갤럭시 s24 울트라 순정 os 씁니다. 얼마전부터 접속하려고 할 때마다 개조된 os에서는 안열린다며 앱 메인화면에 들어갈 수 없어요,회사응답 없음
2025-10-23,하나,1.0,로그인 인증이 안되어서 삭제후 재설치 했더니 아예 안되네요,회사응답 없음
2025-10-22,하나,4.0,"입출금알림 요즘 너무너무너무늦게와요 실시간 알림아니면 무슨 의미죠..,",회사응답 없음
2025-10-22,하나,1.0,one ui 8.0 업데이트 이후 정상적인 OS 에서만 사용가능하다는 알림창 뜨면서 앱이용을 못합니다. 오류 개선 부탁드립니다.,회사응답 없음
2025-10-19,하나,4.0,"입,출금 푸쉬알람이 한참 있다가 오네요... 주말이라그런가? 통장도 알림 다 켜져있는데",회사응답 없음
2025-10-18,하나,5.0,편리하고 좋아요~~~,회사응답 없음
2025-10-17,하나,1.0,최악이야,회사응답 없음
2025-10-17,하나,5.0,좋다,회사응답 없음
2025-10-14,하나,1.0,로딩하는시간이 왜이리길어?ㅡㅡ 기달리다 날새겠네ㅡㅡ,회사응답 없음
